number;name
25.05.01;Техническая эксплуатация и восстановление боевых летательных аппаратов и двигателей  Инженер по эксплуатации летательных аппаратов
25.05.02;Техническая эксплуатация и восстановление электросистем и пилотажно-навигационных комплексов боевых летательных аппаратов  Инженер по эксплуатации электросистем и электронной автоматики летательных аппаратов
25.05.03;Техническая эксплуатация транспортного радиооборудования  Инженер
25.05.04;Летная эксплуатация и применение авиационных комплексов  Инженер по летной эксплуатации летательных аппаратов
25.05.05;Эксплуатация воздушных судов и организация воздушного движения  Инженер
26.00.00;ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА
26.05.01;Проектирование и постройка кораблей, судов и объектов океанотехники  Инженер
26.05.02;Проектирование, изготовление и ремонт энергетических установок и систем автоматизации кораблей и судов  Инженер
26.05.03;Строительство, ремонт и поисковоспасательное обеспечение надводных кораблей и подводных лодок  Инженер
26.05.04;Применение и эксплуатация технических систем надводных кораблей и подводных лодок  Инженер
26.05.05;Судовождение Инженерсудоводитель
26.05.06;Эксплуатация судовых энергетических установок  Инженер-механик
26.05.07;Эксплуатация судового электрооборудования и средств автоматики  Инженерэлектромеханик
27.00.00;УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ
27.05.01;Специальные организационнотехнические системы  Инженерсистемотехник  ЗДРАВООХРАНЕНИЕ И МЕДИЦИНСКИЕ НАУКИ
30.00.00;ФУНДАМЕНТАЛЬНАЯ МЕДИЦИНА
30.05.01;Медицинская биохимия Врач-биохимик
30.05.02;Медицинская биофизика Врач-биофизик
30.05.03;Медицинская кибернетика Врач-кибернетик
31.00.00;КЛИНИЧЕСКАЯ МЕДИЦИНА
31.05.01;Лечебное дело Врач общей практики
31.05.02;Педиатрия Врач-педиатр общей практики
31.05.03;Стоматология Врач-стоматолог общей практики
32.00.00;НАУКИ О ЗДОРОВЬЕ И ПРОФИЛАКТИЧЕСКАЯ МЕДИЦИНА
32.05.01;Медико-профилактическое дело Врач по общей гигиене, по эпидемиологии
33.00.00;ФАРМАЦИЯ
33.05.01;Фармация Провизор
36.00.00;ВЕТЕРИНАРИЯ И ЗООТЕХНИЯ
36.05.01;Ветеринария Ветеринарный врач
37.00.00;ПСИХОЛОГИЧЕСКИЕ НАУКИ
37.05.01;Клиническая психология Клинический психолог
37.05.02;Психология служебной деятельности Психолог
38.00.00;ЭКОНОМИКА И УПРАВЛЕНИЕ
38.05.01;Экономическая безопасность Экономист
38.05.02;Таможенное дело Специалист таможенного дела
40.00.00;ЮРИСПРУДЕНЦИЯ
40.05.01;Правовое обеспечение национальной безопасности  Юрист
40.05.02;Правоохранительная деятельность Юрист
40.05.03;Судебная экспертиза Судебный эксперт ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ
44.00.00;ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ
44.05.01;Педагогика и психология девиантного поведения  Социальный педагог  ГУМАНИТАРНЫЕ НАУКИ
45.00.00;ЯЗЫКОЗНАНИЕ И ЛИТЕРАТУРОВЕДЕНИЕ
45.05.01;Перевод и переводоведение Лингвист-переводчик ИСКУССТВО И КУЛЬТУРА
51.00.00;КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ
51.05.01;Звукорежиссура культурно-массовых представлений и концертных программ  Звукорежиссер
52.00.00;СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО
52.05.01;Актерское искусство Артист драматического театра и кино. Артист музыкального театра. Артист театра кукол. Артист эстрады
52.05.02;Режиссура театра Режиссер драмы. Режиссер музыкального театра. Режиссер театра кукол. Режиссер эстрады. Режиссер цирка
52.05.03;Сценография Художникпостановщик театра. Художникпостановщик в театре кукол. Художник по сценическому костюму
52.05.04;Литературное творчество Литературный работник. Литературный работник, переводчик художественной литературы
53.00.00;МУЗЫКАЛЬНОЕ ИСКУССТВО
53.05.01;Искусство концертного исполнительства Концертный исполнитель. Преподаватель
53.05.02;Художественное руководство оперносимфоническим оркестром и академическим хором  Дирижер оперносимфонического оркестра. Преподаватель Дирижер академического хора.  Преподаватель
53.05.03;Музыкальная звукорежиссура Музыкальный звукорежиссер. Преподаватель
53.05.04;Музыкально-театральное искусство Солист-вокалист. Преподаватель
53.05.05;Музыковедение Музыковед. Преподаватель
53.05.06;Композиция Композитор. Преподаватель
53.05.07;Дирижирование военным духовым оркестром  Дирижер военного духового оркестра
54.00.00;ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ
54.05.01;Монументально-декоративное искусство Художник монументальнодекоративного искусства (живопись). Художник монументальнодекоративного искусства (скульптура). Художникпроектировщик интерьера
54.05.02;Живопись Художник-живописец (станковая живопись). Художник-живописец (монументальная живопись). Художник-живописец (театральнодекорационная живопись). Художник-живописец (церковноисторическая живопись). Художник-реставратор (станковая масляная живопись). Художник-реставратор (темперная живопись). Художник-реставратор (монументально декоративная живопись). Художник кино и телевидения. Художник комбинированных съемок. Художник кино и телевидения по костюму
54.05.03;Графика Художник-график (станковая графика). Художник-график (искусство книги). Художник-график (искусство графики и плаката). Художник-график (оформление печатной продукции). Художник анимации и компьютерной графики. Художник мультипликационного фильма
54.05.04;Скульптура Художник-скульптор. Художник-скульптор (медальерное искусство). Художник-скульптор (реставрация скульптуры)
54.05.05;Живопись и изящные искусства Специалист
55.00.00;ЭКРАННЫЕ ИСКУССТВА
55.05.01;Режиссура кино и телевидения Режиссер игрового кино- и телефильма. Педагог. Режиссер неигрового кино- и телефильма. Педагог. Режиссер анимации и компьютерной графики. Педагог. Режиссер телевизионных программ. Педагог.  Режиссер мультимедиа. Педагог. Режиссер интернет-программ. Педагог
55.05.02;Звукорежиссура аудиовизуальных искусств  Звукорежиссер аудиовизуальных искусств
55.05.03;Кинооператорство Кинооператор. Педагог. Телеоператор. Педагог
55.05.04;Продюсерство Продюсер кино и телевидения. Линейный продюсер. Продюсер телевизионных и радиопрограмм. Продюсер мультимедиа. Продюсер исполнительских искусств
55.05.05;Киноведение
56.00.00;Военное управление
56.05.01;Тыловое обеспечение
56.05.02;Радиационная, химическая и биологическая защита
56.05.03;Служебно-прикладная физическая подготовка
56.05.04;Управление персоналом (Вооруженные Силы РФ, другие войска, воинские формирования и приравненные к ним органы РФ)
56.05.05;Военная журналистика
57.00.00;Обеспечение государственной безопасности
57.05.01;Пограничная деятельность
